name,year,UV_Value
Anhui,2005-2008 average,148.2598670261745
Anhui,2009-2012 average,144.83940689724085
Anhui,2013-2016 average,144.86569411536166
Anhui,2017-2020 average,158.37376165734528
Aomen,2005-2008 average,
Aomen,2009-2012 average,
Aomen,2013-2016 average,
Aomen,2017-2020 average,
Beijing,2005-2008 average,146.2752481897143
Beijing,2009-2012 average,145.77570293028572
Beijing,2013-2016 average,146.24085789999998
Beijing,2017-2020 average,158.84114159028573
Chongqing,2005-2008 average,133.56280798252934
Chongqing,2009-2012 average,129.37159719191655
Chongqing,2013-2016 average,133.27708258083442
Chongqing,2017-2020 average,136.296202925163
Fujian,2005-2008 average,159.63162712941175
Fujian,2009-2012 average,159.65456621231618
Fujian,2013-2016 average,158.8362998374081
Fujian,2017-2020 average,172.00219267610294
Gansu,2005-2008 average,183.0283395501723
Gansu,2009-2012 average,180.7286469041121
Gansu,2013-2016 average,185.3446091883988
Gansu,2017-2020 average,197.06088890567423
Guangdong,2005-2008 average,167.47280850489375
Guangdong,2009-2012 average,166.96777314681262
Guangdong,2013-2016 average,167.68418902021892
Guangdong,2017-2020 average,179.79967950412106
Guangxi,2005-2008 average,158.28810428081147
Guangxi,2009-2012 average,156.38373226286396
Guangxi,2013-2016 average,157.81298116544153
Guangxi,2017-2020 average,162.02861681178996
Guizhou,2005-2008 average,143.0688304682214
Guizhou,2009-2012 average,139.9289540925373
Guizhou,2013-2016 average,142.48283811517413
Guizhou,2017-2020 average,145.74929707754976
Hainan,2005-2008 average,203.63091592657344
Hainan,2009-2012 average,200.892923843007
Hainan,2013-2016 average,207.31787569650348
Hainan,2017-2020 average,211.7352080776224
Hebei,2005-2008 average,150.21039594808184
Hebei,2009-2012 average,148.91773602971867
Hebei,2013-2016 average,150.57548477590794
Hebei,2017-2020 average,165.8074068737596
Heilongjiang,2005-2008 average,140.80483359338842
Heilongjiang,2009-2012 average,139.9357169870156
Heilongjiang,2013-2016 average,139.64738998775024
Heilongjiang,2017-2020 average,141.79607952483013
Henan,2005-2008 average,147.16163020254817
Henan,2009-2012 average,143.55857985618397
Henan,2013-2016 average,148.35401064394034
Henan,2017-2020 average,161.7632430473586
HongKong,2005-2008 average,185.4618349
HongKong,2009-2012 average,186.5912946125
HongKong,2013-2016 average,188.132304625
HongKong,2017-2020 average,205.3737475875
Hubei,2005-2008 average,144.916614354561
Hubei,2009-2012 average,141.0713621709236
Hubei,2013-2016 average,143.5481571391676
Hubei,2017-2020 average,152.36700224754844
Hunan,2005-2008 average,142.8934654793068
Hunan,2009-2012 average,139.4877986155199
Hunan,2013-2016 average,140.3175532823073
Hunan,2017-2020 average,148.06384371510603
Jiangsu,2005-2008 average,152.2139129275437
Jiangsu,2009-2012 average,148.53826051716342
Jiangsu,2013-2016 average,150.77539616289823
Jiangsu,2017-2020 average,162.40459937153133
Jiangxi,2005-2008 average,151.0111939129836
Jiangxi,2009-2012 average,149.56463506262295
Jiangxi,2013-2016 average,149.1302826655082
Jiangxi,2017-2020 average,159.112191828459
Jilin,2005-2008 average,149.04529339196426
Jilin,2009-2012 average,147.73392055512218
Jilin,2013-2016 average,150.2181795869361
Jilin,2017-2020 average,155.95268418806393
Liaoning,2005-2008 average,148.28680505334182
Liaoning,2009-2012 average,146.36202203214515
Liaoning,2013-2016 average,150.6435194386378
Liaoning,2017-2020 average,159.7237623700191
Neimenggu,2005-2008 average,162.93843180077556
Neimenggu,2009-2012 average,162.8532660501241
Neimenggu,2013-2016 average,163.56377382251435
Neimenggu,2017-2020 average,172.7660088517605
Ningxia,2005-2008 average,175.98412610111941
Ningxia,2009-2012 average,173.30801408395524
Ningxia,2013-2016 average,178.40574324906717
Ningxia,2017-2020 average,191.54031201268657
Qinghai,2005-2008 average,206.80257028483888
Qinghai,2009-2012 average,205.60632104021866
Qinghai,2013-2016 average,210.68270508898158
Qinghai,2017-2020 average,217.82151301634062
Shaanxi,2005-2008 average,157.06897652048013
Shaanxi,2009-2012 average,153.67287101876533
Shaanxi,2013-2016 average,159.08018833792258
Shaanxi,2017-2020 average,169.91289563816758
Shandong,2005-2008 average,145.36964749138042
Shandong,2009-2012 average,142.43336056137395
Shandong,2013-2016 average,148.1342328505509
Shandong,2017-2020 average,162.42914808593648
Shanghai,2005-2008 average,157.22329450517242
Shanghai,2009-2012 average,151.64401372413792
Shanghai,2013-2016 average,151.03224551551722
Shanghai,2017-2020 average,161.7488563189655
Shanxi,2005-2008 average,162.44798922826766
Shanxi,2009-2012 average,160.15856766885554
Shanxi,2013-2016 average,162.5011036284553
Shanxi,2017-2020 average,179.2293941211382
Sichuan,2005-2008 average,181.8616275128205
Sichuan,2009-2012 average,178.69248629627438
Sichuan,2013-2016 average,184.20392515632258
Sichuan,2017-2020 average,190.06856378305937
Taiwan,2005-2008 average,185.89136218918918
Taiwan,2009-2012 average,185.8898982675676
Taiwan,2013-2016 average,188.73185167837838
Taiwan,2017-2020 average,200.98970496756758
Tianjin,2005-2008 average,139.1267945576271
Tianjin,2009-2012 average,137.3580932381356
Tianjin,2013-2016 average,137.6700421177966
Tianjin,2017-2020 average,152.06205083474575
Xinjiang,2005-2008 average,182.3899830854063
Xinjiang,2009-2012 average,180.80795169384686
